,,Model,Family,Line,Type,"Launch Date","GPU Dimensions","OS Support","Additional power connector","Compute Units","Base Frequency","Boost Frequency","Game Frequency","Ray Accelerators","Peak Frequency","Peak Pixel Fill-Rate","Peak Texture Fill-Rate","Max Performance","Peak Half Precision (FP16) Performance","Peak Single Precision (FP32) Performance","Peak Double Precision (FP64) Performance",ROPs,"Stream Processors","Texture Units","Transistor Count","GPU Power","Typical Board Power (Desktop)","Minimum PSU Recommendation","Infinity Cache","Memory Speed","Max Memory Size","Memory Type","Memory Interface","Memory Bandwidth","HDMI 4K Support","4K H264 Decode","4K H264 Encode","H265/HEVC Decode","H265/HEVC Encode","AV1 Decode",DisplayPort,"Dual Link DVI",HDMI,Length,"Slot Size",VGA,"AMD Eyefinity Max Display Support","USB Type-C","Supported Technologies"
,on,"AMD Radeon™ R9 280X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,,,"Up to 1000 MHz",,,,,,,,,,,2048,,,,"250 W",,,,3GB,,,"Up to 288 GB/s",,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD HD3D Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), AMD Gaming Evolved Client, AMD LiquidVR™ Technology, AMD TressFX Hair, AMD Eyefinity Technology (Gaming), The Vulkan® API, DirectX® 12 Technology"
,on,"AMD Radeon™ R9 280","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,,,"Up to 933 MHz",,,,,,,,,,,1792,,,,,,,,3GB,,,"Up to 240 GB/s",,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD HD3D Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), AMD Gaming Evolved Client, AMD LiquidVR™ Technology, AMD TressFX Hair, AMD Eyefinity Technology (Gaming), The Vulkan® API, DirectX® 12 Technology"
,on,"AMD Radeon™ R9 270X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,,,"Up to 1050 MHz",,,,,,,,,,,1280,,,,"180 W",,,,2GB,,,"Up to 179.2 GB/s",,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD HD3D Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), AMD Gaming Evolved Client, AMD LiquidVR™ Technology, AMD TressFX Hair, AMD Eyefinity Technology (Gaming), The Vulkan® API, DirectX® 12 Technology"
,on,"AMD Radeon™ R9 270","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,,,"Up to 925 MHz",,,,,,,,,,,1280,,,,"150 W",,,,2GB,,,"Up to 179.2 GB/s",,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD HD3D Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), AMD Gaming Evolved Client, AMD LiquidVR™ Technology, AMD TressFX Hair, AMD Eyefinity Technology (Gaming), The Vulkan® API, DirectX® 12 Technology"
,on,"AMD Radeon™ R9 M295X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4"
,on,"AMD Radeon™ R9 M290X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,20,,"Up to 900 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,256-bit,"Up to 153.6 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R9 M285X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R9 M280X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R9 M280","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,14,,"Up to 1100 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,128-bit,"Up to 96 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenCL® 2.0, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R9 M275X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,10,,"Up to 925 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,128-bit,"Up to 72 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R9 M270X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,10,,"Up to 775 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,128-bit,"Up to 72 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R9 M265X","AMD Radeon™ R9 Series","AMD Radeon™ R9 200 Series",Component,,,,,10,,"Up to 625 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,128-bit,"Up to 72 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R7 370","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,,,"Up to 975 MHz",,,,,,,,,,,1024,,,,,,,,4GB,GDDR5,256-bit,"Up to 179.2 GB/s",,,,,,,Yes,No,Yes,,,No,6,,"Catalyst Software, AMD Mantle API, AMD TrueAudio Technology, Video Code Engine (VCE), AMD Eyefinity Technology (Gaming), OpenCL® 2.0, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 360","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,,,"Up to 1000 MHz",,,,,,,,,,,768,,,,,,,,2GB,GDDR5,128-bit,"Up to 112 GB/s",,,,,,,Yes,No,Yes,,,No,6,,"Catalyst Software, AMD Mantle API, AMD PowerTune Technology, AMD TrueAudio Technology, Video Code Engine (VCE), AMD Eyefinity Technology (Gaming), OpenCL® 2.0, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M380","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,10,,"Up to 915 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,128-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M375","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,8,,"Up to 915 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,128-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M370","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,,,"Up to 960 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,128-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M365X","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,6,,"Up to 825 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,128-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M365","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,,,"Up to 960 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,128-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M360","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,6,,"Up to 1125 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M350","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,6,,"Up to 825 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,128-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M340","AMD Radeon™ R7 Series","AMD Radeon™ R7 300 Series",Component,,,,,6,,"Up to 1021 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,128-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 265","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,"Up to 925 MHz",,,,,,,,,,,1024,,,,,,,,4GB,,,"Up to 179.2 GB/s",,,,,,,No,Yes,Yes,,,Yes,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 12 Technology"
,on,"AMD Radeon™ R7 260X","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,"Up to 1000 MHz",,,,,,,,,,,896,,,,,,,,4GB,,,"Up to 104 GB/s",,,,,,,No,Yes,Yes,,,Yes,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 12 Technology"
,on,"AMD Radeon™ R7 260","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,"Up to 1100 MHz",,,,,,,,,,,896,,,,"115 W",,,,2GB,,,"Up to 104 GB/s",,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 12 Technology"
,on,"AMD Radeon™ R7 250X","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,"Up to 1000 MHz",,,,,,,,,,,640,,,,,,,,2GB,,,"Up to 96 GB/s",,,,,,,No,Yes,Yes,,,Yes,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 12 Technology"
,on,"AMD Radeon™ R7 250","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,"Up to 1050 MHz",,,,,,,,,,,384,,,,"75 W",,,,2GB,,,"Up to 72 GB/s",,,,,,,No,Yes,Yes,,,Yes,,,"Catalyst Software, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 240","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,"Up to 780 MHz",,,,,,,,,,,320,,,,"50 W",,,,2GB,,,"Up to 72 GB/s",,,,,,,No,Yes,Yes,,,Yes,,,"Catalyst Software, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M270","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R7 M265X","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R7 M265AE","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R7 M265","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,6,,"Up to 825 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,128-bit,"Up to 32 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R7 M260X","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,6,,"Up to 715 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,128-bit,"Up to 64 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenCL® 2.0, OpenGL 4.3, DirectX® 12 Technology"
,on,"AMD Radeon™ R7 M260","AMD Radeon™ R7 Series","AMD Radeon™ R7 200 Series",Component,,,,,6,,"Up to 980 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,128-bit,"Up to 32 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenCL® 2.0, OpenGL 4.3, DirectX® 12 Technology"
,on,"AMD Radeon™ R5 M335X","AMD Radeon™ R5 Series","AMD Radeon™ R5 300 Series",Component,,,,,5,,"Up to 1070 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,"Up to 32 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R5 M335","AMD Radeon™ R5 Series","AMD Radeon™ R5 300 Series",Component,,,,,5,,"Up to 1070 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R5 M330","AMD Radeon™ R5 Series","AMD Radeon™ R5 300 Series",Component,,,,,5,,"Up to 1030 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R5 M320","AMD Radeon™ R5 Series","AMD Radeon™ R5 300 Series",Component,,,,,5,,"Up to 855 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R5 M315","AMD Radeon™ R5 Series","AMD Radeon™ R5 300 Series",Component,,,,,5,,,,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 12 Technology"
,on,"AMD Radeon™ R5 235","AMD Radeon™ R5 Series","AMD Radeon™ R5 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,4GB,,,,,,,,,,No,Yes,Yes,,,Yes,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ R5 230","AMD Radeon™ R5 Series","AMD Radeon™ R5 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,4GB,,,,,,,,,,No,Yes,Yes,,,Yes,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ R5 M255X","AMD Radeon™ R5 Series","AMD Radeon™ R5 200 Series",Component,,,,,5,,"Up to 940 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,"Up to 16 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R5 M255","AMD Radeon™ R5 Series","AMD Radeon™ R5 200 Series",Component,,,,,5,,"Up to 940 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,"Up to 16 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R5 M240X","AMD Radeon™ R5 Series","AMD Radeon™ R5 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R5 M240","AMD Radeon™ R5 Series","AMD Radeon™ R5 200 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ R5 M230","AMD Radeon™ R5 Series","AMD Radeon™ R5 200 Series",Component,,,,,5,,"Up to 855 MHz",,,,,,,,,,,,,,,,,,,4GB,DDR3,64-bit,"Up to 16 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD ZeroCore Power Technology, Switchable Graphics, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8970M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,20,,"Up to 850 MHz",,,,,,,,,,,,,,,,,,,4GB,GDDR5,,"Up to 153.6 GB/s",,,,,,,,,,,,,,,"Catalyst Software, AMD PowerTune Technology, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 8870M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,10,,"Up to 725 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8850M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,10,,"Up to 725 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8830M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,10,,"Up to 575 MHz",,,,,,,,,,,,,,,,,,,2GB,DDR3,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8790M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,6,,"Up to 850 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8770M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,6,,"Up to 775 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8750M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,6,,"Up to 775 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8730M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,6,,"Up to 650 MHz",,,,,,,,,,,,,,,,,,,2GB,DDR3,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8690M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,6,,"Up to 775 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8670M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,6,,"Up to 775 MHz",,,,,,,,,,,,,,,,,,,2GB,DDR3,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 8590M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,5,,"Up to 750 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,64-bit,"Up to 36 GB/s",,,,,,,,,,,,,,,"Catalyst Software"
,on,"AMD Radeon™ HD 8570M Series GPU","AMD Radeon™ HD","AMD Radeon™ HD 8000M Series",Component,,,,,5,,"Up to 650 MHz",,,,,,,,,,,,,,,,,,,2GB,GDDR5,,,,,,,,,,,,,,,,,"Catalyst Software, OpenGL 4.4, DirectX® 11"
,on,"AMD Radeon™ HD 7990","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,No,,,"Catalyst Software, DirectX® 11.2"
,on,"AMD Radeon™ HD 7970 GHz Edition","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,"Up to 1050 MHz",,,,,,,,,,,2048,,,,"250 W",,,,3GB,,,"Up to 288 GB/s",,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 7970","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,"Up to 925 MHz",,,,,,,,,,,2048,,,,"300 W",,,,3GB,,,"Up to 264 GB/s",,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 7950","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,28,,"Up to 1250 MHz",,,,,,,,,,,1792,,,,"300 W",,,,3GB,GDDR5,,"Up to 240 GB/s",,,,,,,No,Yes,Yes,,,No,6,,"AMD App Acceleration, Catalyst Software, AMD PowerTune Technology, AMD ZeroCore Power Technology, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 7870 GHz Edition","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,"Up to 1000 MHz",,,,,,,,,,,1024,,,,"225 W",,,,2GB,,,"Up to 153.6 GB/s",,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 7850","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,"Up to 1000 MHz",,,,,,,,,,,1200,,,,"225 W",,,,2GB,,,"Up to 153.6 GB/s",,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 7790","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,No,,,"Catalyst Software"
,on,"AMD Radeon™ HD 7770 GHz Edition","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,"Up to 1000 MHz",,,,,,,,,,,640,,,,"125 W",,,,1GB,,,"Up to 72 GB/s",,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 7750","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,"Up to 800 MHz",,,,,,,,,,,512,,,,"75 W",,,,1GB,,,"Up to 72 GB/s",,,,,,,Yes,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 7730","AMD Radeon™ HD","AMD Radeon™ HD 7000 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,No,,,"Catalyst Software"
,on,"AMD Radeon™ HD 6970","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 880 MHz",,,,,,,,,,,,,,,"550 W",,,,2GB,,,,,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 6950","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 800 MHz",,,,,,,,,,,,,,,"500 W",,,,2GB,,,,,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 6870","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,"Up to 900 MHz",,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,No,Yes,Yes,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
,on,"AMD Radeon™ HD 6850","AMD Radeon™ HD","AMD Radeon™ HD 6000 Series",Component,,,,,,,,,,,,,,,,,,,,,,,,,,1GB,,,,,,,,,,No,No,,,,No,,,"Catalyst Software, AMD Eyefinity Technology (Gaming), DirectX® 11"
