,,Model,Family,Line,Type,"Launch Date","GPU Dimensions","OS Support","Additional power connector","Compute Units","Base Frequency","Boost Frequency","Game Frequency","Ray Accelerators","Peak Frequency","Peak Pixel Fill-Rate","Peak Texture Fill-Rate","Max Performance","Peak Half Precision (FP16) Performance","Peak Single Precision (FP32) Performance","Peak Double Precision (FP64) Performance",ROPs,"Stream Processors","Texture Units","Transistor Count","GPU Power","Typical Board Power (Desktop)","Minimum PSU Recommendation","Infinity Cache","Memory Speed","Max Memory Size","Memory Type","Memory Interface","Memory Bandwidth","HDMI 4K Support","4K H264 Decode","4K H264 Encode","H265/HEVC Decode","H265/HEVC Encode","AV1 Decode",DisplayPort,"Dual Link DVI",HDMI,Length,"Slot Size",VGA,"AMD Eyefinity Max Display Support","USB Type-C","Supported Technologies"
,on,"Radeon™ RX Vega 56","Radeon™ RX Vega Series","Radeon™ RX Vega Series","Desktop, Component",Q3/2017,,,,56,"1156 MHz","Up to 1471 MHz",,,,"Up to 94.00 GP/s","Up to 330.00 GT/s","Up to 10.5 TFLOPs","21 TFLOPs","10.5 TFLOPs",,64,3584,256,"12.5 B",,"210 W","650 W",,"1.6 Gbps",8GB,HBM2,2048-bit,"Up to 410 GB/s",,,,,,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ VR Ready Premium, AMD FreeSync™ Technology, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), Catalyst Software, AMD Frame Rate Target Control, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API, AMD ZeroCore Power Technology"
,on,"Radeon™ RX 590","Radeon™ 500 Series","Radeon™ RX 500 Series",Component,11/15/2018,,,,36,"1469 MHz","Up to 1545 MHz",,,,"Up to 49.54 GP/s","Up to 222.48 GT/s","Up to 7.1 TFLOPs",,,,32,2304,144,"5.7 B",,,,,"8 Gbps",8GB,GDDR5,256-bit,"Up to 256 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, AMD LiquidVR™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Frame Rate Target Control, 12nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ RX 580 (OEM)","Radeon™ 500 Series","Radeon™ RX 500 Series","Desktop, Notebook",4/18/2018,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,36,"1120-1257 MHz","1266-1340 MHz",,,,"Up to 42.88 GP/s","Up to 192.96 GT/s","Up to 6.2 TFLOPs",,,,32,2304,144,"5.7 B",,"185 W","500 W",,"8 Gbps",8GB,GDDR5,256-bit,"Up to 256 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ VR Ready Creator, AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, 3rd Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, AMD Frame Rate Target Control, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ RX 640","Radeon™ 600 Series","Radeon™ 600 Series","Desktop, Notebook","Q3 2019",,,,8/10,,"Up to 1287 MHz",,,,"Up to 20.60 GP/s","Up to 51.48 GT/s","Up to 1.65 TFLOPs",,,,16,512/640,40,,,,,,"7 Gbps",4GB,GDDR5,64-bit,"Up to 56 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",Yes,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Enduro™ Technology, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ RX 580","Radeon™ 500 Series","Radeon™ RX 500 Series",Component,4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,36,"1257 MHz","Up to 1340 MHz",,,,"Up to 42.88 GP/s","Up to 192.96 GT/s","Up to 6.2 TFLOPs",,,,32,2304,144,"5.7 B",,"185 W","500 W",,"8 Gbps",8GB,GDDR5,256-bit,"Up to 256 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ VR Ready Premium, AMD Radeon™ Software, AMD FreeSync™ Technology, AMD LiquidVR™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ RX 580X","Radeon™ 500 Series","Radeon™ RX 500X Series","Desktop, Notebook",4/3/2018,,,,36,"1257 MHz","Up to 1340 MHz",,,,"Up to 42.88 GP/s","Up to 192.96 GT/s","Up to 6.2 TFLOPs",,,,32,2304,144,"5.7 B",,,,,"8 Gbps",8GB,GDDR5,256-bit,"Up to 256 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ VR Ready Premium, AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, TrueAudio Next, The Vulkan® API"
,on,"Radeon™ RX 570","Radeon™ 500 Series","Radeon™ RX 500 Series",Component,4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,32,"1168 MHz","Up to 1244 MHz",,,,"Up to 39.81 GP/s","Up to 159.23 GT/s","Up to 5.1 TFLOPs",,,,32,2048,128,"5.7 B",,"150 W","450 W",,"7 Gbps",8GB,GDDR5,256-bit,"Up to 224 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ RX 570 (OEM)","Radeon™ 500 Series","Radeon™ RX 500 Series","Desktop, Notebook",4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,,"926-1168 MHz","1206-1244 MHz",,,,"Up to 39.81 GP/s","Up to 159.23 GT/s","Up to 5.1 TFLOPs",,,,32,2048,128,"5.7 B",,"150 W","450 W",,"7 Gbps",8GB,GDDR5,256-bit,"Up to 224 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, AMD Eyefinity Technology (Gaming), AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, OpenCL® 2.0, OpenGL 4.6, AMD PowerTune Technology, Unified Video Decoder (UVD), AMD Virtual Super Resolution, The Vulkan® API"
,on,"Radeon™ 630","Radeon™ 600 Series","Radeon™ 600 Series","Desktop, Notebook","Q3   2019",,,,8,,"Up to 1219 MHz",,,,"Up to 9.80 GP/s","Up to 39.00 GT/s","Up to 1.25 TFLOPs",,,,8,512,32,,,,,,"6 Gbps",4GB,GDDR5,64-bit,"Up to 48 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD Enduro™ Technology, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API"
,on,"Radeon™ RX 570X","Radeon™ 500 Series","Radeon™ RX 500X Series","Desktop, Notebook",4/3/2018,,,,32,"1168 MHz","Up to 1244 MHz",,,,"Up to 39.81 GP/s","Up to 159.23 GT/s","Up to 5.1 TFLOPs",,,,32,2048,128,"5.7 B",,,,,"7 Gbps",8GB,GDDR5,256-bit,"Up to 224 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD App Acceleration, The Vulkan® API"
,on,"Radeon™ RX 560","Radeon™ 500 Series","Radeon™ RX 500 Series",Component,4/18/2017,,"Windows 10 - 64-Bit Edition, Windows 7 - 32-Bit Edition, Windows 7 - 64-Bit Edition, Ubuntu x86 64-Bit, Linux x86_64",,14/16,"1175 MHz","Up to 1275 MHz",,,,"Up to 20.40 GP/s","Up to 81.60 GT/s","Up to 2.6 TFLOPs",,,,16,896/1024,64,"3 B",,"60-80 W","450 W",,"7 Gbps",4GB,GDDR5,128-bit,"Up to 112 GB/s",Yes,Yes,Yes,Yes,Yes,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ Software, AMD FreeSync™ Technology, AMD LiquidVR™ Technology, 4th Gen GCN Architecture, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), AMD App Acceleration, AMD CrossFire™ Technology, AMD CrossFire™ (Bridgeless), AMD Frame Rate Target Control, 3rd Gen 14nm Process Technology, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API"
